Held_out_formulation,N_test,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
6ALG6HA,5,0.054424681287572274,0.3953648239135742,0.5227149775702831,0.9486832980505138,SR,SR_mean,rheology_enhanced,XGBoost
1ALG8HA,5,-0.8728626395378465,0.5110361054247702,0.5415803888953555,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
2ALG8HA,5,-1.5933037821791602,0.6645972480818412,0.669778760748371,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
4ALG4HA,5,-0.38833476914019327,0.7220738665195805,0.9157577673639561,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
4ALG6HA,5,-0.038563506021858984,0.8145157903291343,1.04526584632882,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
4ALG8HA,5,-4.1628040311133585,0.6316329585207396,0.6852386958847917,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
6ALG2HA,5,-16.261657305171823,0.9342109437363206,0.9356410955946177,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
6ALG4HA,5,0.7166363505411739,0.10592780509218461,0.12100708481271268,0.8999999999999998,Qm,Qm_mean_mg_s,core,LinearRegression
6ALG6HA,5,-60.38488714487131,1.1087039399624783,1.122932844524502,0.9999999999999999,Qm,Qm_mean_mg_s,core,LinearRegression
1ALG8HA,5,-1.6322358213651458,0.555373345768212,0.6420551947782426,0.9999999999999999,Qm,Qm_mean_mg_s,core,SVR_RBF
2ALG8HA,5,-3.537071402884134,0.863673964049517,0.8859158707087355,0.9999999999999999,Qm,Qm_mean_mg_s,core,SVR_RBF
4ALG4HA,5,-1.3336017518344865,1.0395841559142305,1.1872628588502743,0.9999999999999999,Qm,Qm_mean_mg_s,core,SVR_RBF
4ALG6HA,5,0.44030620692209943,0.7133164311491783,0.7673358281840775,0.8999999999999998,Qm,Qm_mean_mg_s,core,SVR_RBF
4ALG8HA,5,0.20904103792484108,0.22365071847781454,0.2682106602656429,0.9999999999999999,Qm,Qm_mean_mg_s,core,SVR_RBF
6ALG2HA,5,0.9445090681396039,0.04552878090757906,0.05304922609862197,0.9999999999999999,Qm,Qm_mean_mg_s,core,SVR_RBF
6ALG4HA,5,-10.280354315485294,0.7588502594962641,0.763484281649039,0.8999999999999998,Qm,Qm_mean_mg_s,core,SVR_RBF
6ALG6HA,5,-46.93563320208534,0.9799304402065724,0.9923212418055702,-0.7,Qm,Qm_mean_mg_s,core,SVR_RBF
1ALG8HA,5,-1.9959679223103381,0.534595955026455,0.684981033071639,-0.6668859288553501,Qm,Qm_mean_mg_s,core,RandomForest
2ALG8HA,5,-0.8868973987659288,0.48389977445887417,0.5713191978295389,0.9999999999999999,Qm,Qm_mean_mg_s,core,RandomForest
4ALG4HA,5,-1.6250597591790736,1.0162650576719576,1.2592243354718349,0.9746794344808964,Qm,Qm_mean_mg_s,core,RandomForest
4ALG6HA,5,-0.050596180518670986,0.9888092014430019,1.0513035721074797,-0.8999999999999998,Qm,Qm_mean_mg_s,core,RandomForest
4ALG8HA,5,-5.015527678502663,0.6725340947089953,0.7396664568934067,0.0,Qm,Qm_mean_mg_s,core,RandomForest
6ALG2HA,5,-1.1052206610232975,0.3054848547619045,0.3267509473819014,0.6668859288553501,Qm,Qm_mean_mg_s,core,RandomForest
6ALG4HA,5,-0.3212806016752392,0.20169259206349222,0.26129810452919744,0.8720815992723809,Qm,Qm_mean_mg_s,core,RandomForest
6ALG6HA,5,-17.3894849846833,0.5976768214285725,0.614621625777162,,Qm,Qm_mean_mg_s,core,RandomForest
1ALG8HA,5,-4.723993551417111,0.8796438633292334,0.9468028020271182,0.7071067811865475,Qm,Qm_mean_mg_s,core,GradientBoosting
2ALG8HA,5,-4.618418073017432,0.9646069268140403,0.9858519528770163,0.9746794344808964,Qm,Qm_mean_mg_s,core,GradientBoosting
4ALG4HA,5,-1.2734155685547282,0.9295492656138272,1.171852432311528,0.8999999999999998,Qm,Qm_mean_mg_s,core,GradientBoosting
4ALG6HA,5,0.06252156286339994,0.9305055304014223,0.9930951820550858,0.6668859288553501,Qm,Qm_mean_mg_s,core,GradientBoosting
4ALG8HA,5,-6.299017189412944,0.7756107350210314,0.8147629141784777,0.22360679774997894,Qm,Qm_mean_mg_s,core,GradientBoosting
6ALG2HA,5,-4.617626359253087,0.4759489616480915,0.5337580876244087,0.9746794344808964,Qm,Qm_mean_mg_s,core,GradientBoosting
6ALG4HA,5,-2.8958031656805017,0.4189157448069561,0.4486805390223654,0.7905694150420948,Qm,Qm_mean_mg_s,core,GradientBoosting
6ALG6HA,5,-128.46253030220387,1.627093951799377,1.6307789584958223,0.8660254037844386,Qm,Qm_mean_mg_s,core,GradientBoosting
1ALG8HA,5,-4.104863402958125,0.8005875581979751,0.8941328057483501,0.051298917604257706,Qm,Qm_mean_mg_s,core,XGBoost
2ALG8HA,5,-2.073970759203545,0.6963612653732302,0.7292132324706528,0.9999999999999999,Qm,Qm_mean_mg_s,core,XGBoost
4ALG4HA,5,-1.0246065026058848,0.8889700697898864,1.105869358066324,0.9746794344808964,Qm,Qm_mean_mg_s,core,XGBoost
4ALG6HA,5,-0.12307992079744179,0.8758231189727784,1.0869650062045246,0.3,Qm,Qm_mean_mg_s,core,XGBoost
4ALG8HA,5,-12.015172549225706,0.9887130962371824,1.0879877980871067,-0.6324555320336759,Qm,Qm_mean_mg_s,core,XGBoost
6ALG2HA,5,-0.1792948038274449,0.2006160999119282,0.24455651454074315,0.8999999999999998,Qm,Qm_mean_mg_s,core,XGBoost
6ALG4HA,5,-3.7462453465903085,0.4529586359024048,0.4952378414829884,0.7905694150420948,Qm,Qm_mean_mg_s,core,XGBoost
6ALG6HA,5,-34.97169172566273,0.8475813158035278,0.8596140104135341,,Qm,Qm_mean_mg_s,core,XGBoost
1ALG8HA,5,-736.5063305457656,10.672855147678868,10.747138429730274,-0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
2ALG8HA,5,-67.1108952283561,3.3660588530737123,3.4325191523135685,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
4ALG4HA,5,-138.85138348172055,9.098230567551015,9.191087367925737,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
4ALG6HA,5,-1.4012752021784172,1.5069213032653757,1.5893926460381045,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
4ALG8HA,5,-121807.97525546298,104.61141858884923,105.25402302462416,-0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
6ALG2HA,5,-88686.8551030359,67.03620438673677,67.06564712307085,-0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
6ALG4HA,5,-1493.6170997894783,8.776877562673231,8.788276313900548,0.8999999999999998,Qm,Qm_mean_mg_s,engineered,LinearRegression
6ALG6HA,5,-13819527.608756991,532.2122489066044,532.8066889648284,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,LinearRegression
1ALG8HA,5,-0.18138706705584506,0.3065647996040157,0.43013627793240905,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,SVR_RBF
2ALG8HA,5,-4.089640400262505,0.8725361342536406,0.9383140609145498,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,SVR_RBF
4ALG4HA,5,-1.3691113003593567,1.0152359791527985,1.1962618229442326,0.8999999999999998,Qm,Qm_mean_mg_s,engineered,SVR_RBF
