Target,Model,Feature_set,Feature,Importance_mean_RMSE_increase,Importance_std,Abs_importance_mean,Mean_abs_SHAP,Mean_SHAP,Std_abs_SHAP,Permutation_positive,Permutation_norm,SHAP_norm,Permutation_rank,SHAP_rank,Rank_difference,Consensus_score
SR,SVR_RBF,rheology_enhanced,TP,0.03804787576014143,0.02493638542648255,0.03804787576014143,0.08623976336926202,-0.0022517297473371865,0.070394065903949,0.03804787576014143,0.11250710746688654,0.2919506326545997,8.0,8.0,0.0,0.2022288700607431
SR,SVR_RBF,rheology_enhanced,TP_pct_wv,0.03804787576014137,0.02493638542648258,0.03804787576014137,0.0833457818350372,0.00025241009208655936,0.06702500957050996,0.03804787576014137,0.11250710746688634,0.28215353086769,9.0,9.0,0.0,0.1973303191672882
SR,SVR_RBF,rheology_enhanced,Cross_m_mean,0.037970678623918556,0.016981109531939955,0.037970678623918556,0.083316509413293,-0.0016748043666851603,0.06798039574172877,0.037970678623918556,0.11227883647073643,0.28205443386517437,10.0,10.0,0.0,0.1971666351679554
SR,SVR_RBF,rheology_enhanced,HA_mg_ml,0.032884793751415294,0.01924817511499922,0.032884793751415294,0.08157079898786432,0.0014619950931026846,0.05174182560321501,0.032884793751415294,0.09723993654575386,0.27614461636076676,11.0,12.0,1.0,0.1866922764532603
SR,SVR_RBF,rheology_enhanced,Alg_x_HA,0.018593705525003328,0.028153135463222782,0.018593705525003328,0.08243608565972793,0.0006936961174289898,0.0588411200585595,0.018593705525003328,0.05498136187410151,0.2790739030541509,17.0,11.0,6.0,0.16702763246412622
SR,SVR_RBF,rheology_enhanced,Alg_x_P,0.027699367433833767,0.025896266425009775,0.027699367433833767,0.06825262195076034,0.0011906819199321791,0.03864112904270112,0.027699367433833767,0.08190669377415799,0.23105810336629426,12.0,13.0,1.0,0.1564823985702261
SR,SVR_RBF,rheology_enhanced,Cross_k_mean_s,0.024981110788794406,0.01953172152437719,0.024981110788794406,0.042594971168060235,0.0001015127380025828,0.045140168504776514,0.024981110788794406,0.07386884182116146,0.144198317511293,13.0,16.0,3.0,0.10903357966622723
SR,SVR_RBF,rheology_enhanced,HF,0.014313160202321831,0.019956678647119752,0.014313160202321831,0.04690877440933497,0.001402592797198178,0.02848579437095261,0.014313160202321831,0.04232384123689642,0.15880199377655635,19.0,14.0,5.0,0.10056291750672638
SR,SVR_RBF,rheology_enhanced,Alg_HA_ratio_safe,0.022600753951640903,0.021147226090752046,0.022600753951640903,0.03819444082482223,0.00029354300962446995,0.034094602333331135,0.022600753951640903,0.06683015550459923,0.1293010408081659,14.0,18.0,4.0,0.09806559815638256
SR,SVR_RBF,rheology_enhanced,Alg_fraction_feature,0.014313160202321831,0.01995667864711985,0.014313160202321831,0.04485086801797689,-0.0014331719943726222,0.025781154584661795,0.014313160202321831,0.04232384123689642,0.15183528782296515,19.0,15.0,4.0,0.09707956452993079
SR,SVR_RBF,rheology_enhanced,HF_x_P,0.020476893080390267,0.0258372900509957,0.020476893080390267,0.038841114409558834,-0.0008103133444049741,0.028130172878771516,0.020476893080390267,0.06054992465037552,0.13149024860290995,16.0,17.0,1.0,0.09602008662664274
SR,SVR_RBF,rheology_enhanced,Yield_stress_mean_Pa,0.020855587525063956,0.018805112641313872,0.020855587525063956,0.0350223442126175,0.0003768655899251567,0.0344596667479817,0.020855587525063956,0.06166971953334371,0.1185624258515209,15.0,20.0,5.0,0.0901160726924323
SR,SVR_RBF,rheology_enhanced,TP_x_P,0.01094939994770161,0.013982091875225026,0.01094939994770161,0.03598143238245711,-0.001728110263133516,0.03116764992588829,0.01094939994770161,0.032377242934137664,0.12180926219495199,21.0,19.0,2.0,0.07709325256454483
