Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
15,-13.974271023616955,0.08545340938814663,0.10490544938381183,-0.07142857142857144,Pr,Pr_mean,core,SVR_RBF
16,0.20271831679031493,0.09727366531665273,0.1364854835056589,0.4761904761904762,Pr,Pr_mean,core,SVR_RBF
17,-0.8591516956491416,0.0794091491884791,0.10316000993898942,0.5952380952380953,Pr,Pr_mean,core,SVR_RBF
18,0.047904735998088754,0.06936313059654733,0.07405600494206065,0.3571428571428572,Pr,Pr_mean,core,SVR_RBF
19,0.06982273066699896,0.06490733079323979,0.07713998014156176,0.5952380952380953,Pr,Pr_mean,core,SVR_RBF
20,-0.8657644236047415,0.06779622998366133,0.08327692575100756,0.5714285714285715,Pr,Pr_mean,core,SVR_RBF
21,-2.8003787247320724,0.07730580165388388,0.09098969750377692,0.5476190476190477,Pr,Pr_mean,core,SVR_RBF
22,0.5977435060114566,0.040906081267615635,0.050649686972497034,0.8571428571428572,Pr,Pr_mean,core,SVR_RBF
23,-0.09089575971080577,0.06669350463498591,0.07485166959320091,0.2142857142857143,Pr,Pr_mean,core,SVR_RBF
24,0.348218328592638,0.0860347305168691,0.11448208618697782,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
25,-0.06237062952047867,0.06686092643287375,0.09026250804067296,0.30952380952380953,Pr,Pr_mean,core,SVR_RBF
26,-0.14028535893283722,0.05697103437236091,0.06339901120998118,0.523809523809524,Pr,Pr_mean,core,SVR_RBF
27,-2.4572295233839365,0.05721158114474377,0.08730593789474309,0.37126414119311024,Pr,Pr_mean,core,SVR_RBF
28,0.10388376290460988,0.08587640958810103,0.10740309252440015,0.7380952380952381,Pr,Pr_mean,core,SVR_RBF
29,-0.04486989749497439,0.09819153463245907,0.13289019252052692,0.4047619047619048,Pr,Pr_mean,core,SVR_RBF
30,0.3788070145081286,0.042918873841560776,0.0555745688179764,0.4523809523809524,Pr,Pr_mean,core,SVR_RBF
31,-0.9207466519834211,0.06545844792370513,0.08418405378983644,-0.15569141404872366,Pr,Pr_mean,core,SVR_RBF
32,-6.608631293212459,0.10776430871269234,0.12123323785665109,0.7380952380952381,Pr,Pr_mean,core,SVR_RBF
33,0.06367768258682016,0.050476877513146,0.08547029946374017,0.6428571428571429,Pr,Pr_mean,core,SVR_RBF
34,0.4721779065546782,0.07732738947947569,0.11958476031618738,0.6666666666666669,Pr,Pr_mean,core,SVR_RBF
35,-1.1005532616600364,0.08226330146440208,0.10498116499863237,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
36,0.3679562231662433,0.06846673183739319,0.07946639154567339,0.7380952380952381,Pr,Pr_mean,core,SVR_RBF
37,-2.088865722170136,0.0708152293064043,0.0867248233170679,-0.45509797952703834,Pr,Pr_mean,core,SVR_RBF
38,0.1525893106292341,0.09970567510719952,0.12968429773672951,0.523809523809524,Pr,Pr_mean,core,SVR_RBF
39,-0.6551702133775228,0.06337831952150311,0.09344533961046537,0.6904761904761906,Pr,Pr_mean,core,SVR_RBF
40,-0.07622446166357766,0.06820530369293147,0.07860752347352912,0.6904761904761906,Pr,Pr_mean,core,SVR_RBF
41,-1.0976227850108704,0.06490663372410391,0.07577217820590129,-0.04761904761904763,Pr,Pr_mean,core,SVR_RBF
42,0.3581743740145862,0.06944064672565918,0.11352748727461419,0.3832404038122429,Pr,Pr_mean,core,SVR_RBF
