Run,Alg_mg_ml,HA_mg_ml,Eta0_Pa_s,Cross_m,Cross_k_s,G_prime_LVE_Pa,G_double_prime_LVE_Pa,Yield_stress_Pa,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,Alg_x_HA,Alg_fraction_x_HA_fraction
39,20,40,64.6457,0.952439,0.0880795,72.2622,141.713,280.449,2.0,4.0,60,6.0,0.6666666666666666,0.3333333333333333,0.5,2ALG4HA,60,6.0,0.6666666666666666,0.3333333333333333,0.5,800,0.2222222222222222
40,20,60,75.8155,0.759901,0.140666,162.319,250.989,489.131,2.0,6.0,80,8.0,0.75,0.25,0.3333333333333333,2ALG6HA,80,8.0,0.75,0.25,0.3333333333333333,1200,0.1875
41,20,60,47.9806,0.674053,0.160979,152.2,241.348,471.587,2.0,6.0,80,8.0,0.75,0.25,0.3333333333333333,2ALG6HA,80,8.0,0.75,0.25,0.3333333333333333,1200,0.1875
42,20,60,64.008,0.847363,0.10613,113.531,186.94,419.588,2.0,6.0,80,8.0,0.75,0.25,0.3333333333333333,2ALG6HA,80,8.0,0.75,0.25,0.3333333333333333,1200,0.1875
43,40,20,22.294,0.728743,0.0501603,35.3013,90.6707,199.702,4.0,2.0,60,6.0,0.3333333333333333,0.6666666666666666,2.0,4ALG2HA,60,6.0,0.3333333333333333,0.6666666666666666,2.0,800,0.2222222222222222
44,40,20,30.7534,0.832004,0.0482187,68.4632,160.751,263.201,4.0,2.0,60,6.0,0.3333333333333333,0.6666666666666666,2.0,4ALG2HA,60,6.0,0.3333333333333333,0.6666666666666666,2.0,800,0.2222222222222222
45,40,20,27.6872,0.789437,0.046825,45.8701,116.279,200.105,4.0,2.0,60,6.0,0.3333333333333333,0.6666666666666666,2.0,4ALG2HA,60,6.0,0.3333333333333333,0.6666666666666666,2.0,800,0.2222222222222222
46,60,80,520.664,0.616021,1.03433,799.781,888.443,841.719,6.0,8.0,140,14.0,0.5714285714285714,0.42857142857142855,0.75,6ALG8HA,140,14.0,0.5714285714285714,0.42857142857142855,0.75,4800,0.24489795918367344
47,60,80,960.43,0.627027,1.83225,799.883,892.56,737.281,6.0,8.0,140,14.0,0.5714285714285714,0.42857142857142855,0.75,6ALG8HA,140,14.0,0.5714285714285714,0.42857142857142855,0.75,4800,0.24489795918367344
48,60,80,1005.04,0.577041,2.30706,798.437,880.267,725.137,6.0,8.0,140,14.0,0.5714285714285714,0.42857142857142855,0.75,6ALG8HA,140,14.0,0.5714285714285714,0.42857142857142855,0.75,4800,0.24489795918367344
