Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
32,40,40,50,120,1.21458,0.031865,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.625,1.25,1.25,2000,2000,4000,25.0,1600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,6000,4800,4800,9600,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
33,40,40,55,120,1.18475,0.0251478,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.6875,1.375,1.375,2200,2200,4400,27.5,1600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,6600,4800,4800,9600,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
34,40,40,60,120,1.00068,0.028701,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.75,1.5,1.5,2400,2400,4800,30.0,1600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7200,4800,4800,9600,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
35,40,40,65,120,1.15143,0.053961,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.8125,1.625,1.625,2600,2600,5200,32.5,1600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7800,4800,4800,9600,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
36,40,40,70,120,1.18045,0.020291,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.875,1.75,1.75,2800,2800,5600,35.0,1600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,8400,4800,4800,9600,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
37,40,60,75,60,1.97211,0.115179,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.75,1.875,1.25,3000,4500,7500,45.0,2400,0.24,1.0471975511965976,0.8660254037844386,0.5000000000000001,4500,2400,3600,6000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
38,40,60,85,60,2.18925,0.0312527,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.85,2.125,1.4166666666666667,3400,5100,8500,51.0,2400,0.24,1.0471975511965976,0.8660254037844386,0.5000000000000001,5100,2400,3600,6000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
39,40,60,95,60,1.94988,0.0269887,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.95,2.375,1.5833333333333333,3800,5700,9500,57.0,2400,0.24,1.0471975511965976,0.8660254037844386,0.5000000000000001,5700,2400,3600,6000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
40,40,60,65,90,1.45212,0.0365994,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.65,1.625,1.0833333333333333,2600,3900,6500,39.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,5850,3600,5400,9000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
41,40,60,75,90,1.42363,0.0644926,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.75,1.875,1.25,3000,4500,7500,45.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,6750,3600,5400,9000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
42,40,60,95,90,1.35048,0.0178555,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.95,2.375,1.5833333333333333,3800,5700,9500,57.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,8550,3600,5400,9000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
43,40,60,105,120,1.23805,0.0418633,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.05,2.625,1.75,4200,6300,10500,63.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,12600,4800,7200,12000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
44,40,60,75,120,1.18126,0.0479477,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.75,1.875,1.25,3000,4500,7500,45.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,9000,4800,7200,12000,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
