Target,Model,Feature_set,Feature,Importance_mean_RMSE_increase,Importance_std,Abs_importance_mean
Qm,SVR_RBF,engineered,Alg_x_HA,0.1416043583365349,0.02470235314793984,0.1416043583365349
Qm,SVR_RBF,engineered,HF_x_P,0.1379367163465305,0.024932185563183107,0.1379367163465305
Qm,SVR_RBF,engineered,P_over_HA,0.13123164822143324,0.02757613802197044,0.13123164822143324
Qm,SVR_RBF,engineered,Pressure_kPa,0.11713359766078277,0.027978289483907383,0.11713359766078277
Qm,SVR_RBF,engineered,Alg_fraction_x_HA_fraction,0.1144743715808666,0.044266665043663764,0.1144743715808666
Qm,SVR_RBF,engineered,Alg_fraction_feature,0.09981365121743138,0.01735721732508568,0.09981365121743138
Qm,SVR_RBF,engineered,HF,0.09981365121743131,0.01735721732508564,0.09981365121743131
Qm,SVR_RBF,engineered,HA_mg_ml,0.09571655605106683,0.023036822808106806,0.09571655605106683
Qm,SVR_RBF,engineered,TP_x_P,0.05931188520499343,0.01333036902655662,0.05931188520499343
Qm,SVR_RBF,engineered,HA_x_P,0.0537241460029559,0.012338202365314493,0.0537241460029559
AF,XGBoost,angle_engineered,Angle_deg,0.2244347522791847,0.015717023580047142,0.2244347522791847
AF,XGBoost,angle_engineered,TP_x_Angle,0.033006905917795135,0.005433168863196877,0.033006905917795135
AF,XGBoost,angle_engineered,Pressure_kPa,0.021046498394783168,0.0039669354887242846,0.021046498394783168
AF,XGBoost,angle_engineered,P_x_Angle,0.017480570540312115,0.0033380309198280393,0.017480570540312115
AF,XGBoost,angle_engineered,P_over_Alg,0.01590205224851438,0.004026468410141039,0.01590205224851438
AF,XGBoost,angle_engineered,Angle_rad,0.012689909476807742,0.0033024295093559072,0.012689909476807742
AF,XGBoost,angle_engineered,P_over_HA,0.010686248025695663,0.0019343576389613767,0.010686248025695663
AF,XGBoost,angle_engineered,Alg_x_P,0.00921260171348495,0.0023079890428913496,0.00921260171348495
AF,XGBoost,angle_engineered,P_over_TP,0.008797714250013529,0.0015240145246484464,0.008797714250013529
AF,XGBoost,angle_engineered,HA_x_Angle,0.008271567994954572,0.0025893286274941544,0.008271567994954572
AF,XGBoost,angle_engineered,TP_x_P,0.007961998509843762,0.0027007821337264853,0.007961998509843762
AF,XGBoost,angle_engineered,Alg_x_Angle,0.0047156534402744395,0.0015834613751698153,0.0047156534402744395
AF,XGBoost,angle_engineered,HA_x_P,0.0046891625304366505,0.0017669964004966192,0.0046891625304366505
AF,XGBoost,angle_engineered,sin_angle,0.0008178923239405556,0.0003285704173632388,0.0008178923239405556
AF,XGBoost,angle_engineered,HF_x_P,0.000414145671175131,0.00018027362045469196,0.000414145671175131
AF,XGBoost,angle_engineered,Alg_fraction_x_HA_fraction,0.0003724310976555681,0.00017443021837781436,0.0003724310976555681
AF,XGBoost,angle_engineered,Alg_x_HA,0.00016085729516691015,9.305468092175208e-05,0.00016085729516691015
AF,XGBoost,angle_engineered,Alg_mg_ml,0.00011262785103194644,0.0001233382240376973,0.00011262785103194644
AF,XGBoost,angle_engineered,HF,3.454386060800258e-05,9.511373397469355e-05,3.454386060800258e-05
AF,XGBoost,angle_engineered,cos_angle,2.2644680411894323e-05,6.919709926099502e-05,2.2644680411894323e-05
AF,XGBoost,angle_engineered,Alg_HA_ratio_safe,0.0,0.0,0.0
AF,XGBoost,angle_engineered,HA_mg_ml,0.0,0.0,0.0
AF,XGBoost,angle_engineered,Alg_fraction_feature,0.0,0.0,0.0
AF,XGBoost,angle_engineered,TP,0.0,0.0,0.0
AF,XGBoost,angle_engineered,TP_pct_wv,0.0,0.0,0.0
