Target,Target_column,Feature_set,Feature,Pearson_r,Spearman_r,Abs_Pearson_r,Abs_Spearman_r,N
SR,SR_mean,rheology_enhanced,Yield_stress_mean_Pa,-0.20629485218280788,-0.2833096108245909,0.20629485218280788,0.2833096108245909,43
Qm,Qm_mean_mg_s,rheology_enhanced,Alg_mg_ml,-0.1789342726548051,-0.3100374734069411,0.1789342726548051,0.3100374734069411,40
Qm,Qm_mean_mg_s,rheology_enhanced,HA_mg_ml,0.06370234820060698,0.176069261530568,0.06370234820060698,0.176069261530568,40
Qm,Qm_mean_mg_s,rheology_enhanced,Pressure_kPa,0.08712589688696577,0.23640107456120316,0.08712589688696577,0.23640107456120316,40
Qm,Qm_mean_mg_s,rheology_enhanced,TP,-0.124851856970736,-0.02550306852253353,0.124851856970736,0.02550306852253353,40
Qm,Qm_mean_mg_s,rheology_enhanced,TP_pct_wv,-0.124851856970736,-0.02550306852253353,0.124851856970736,0.02550306852253353,40
Qm,Qm_mean_mg_s,rheology_enhanced,HF,0.13688793439781594,0.26006665731061374,0.13688793439781594,0.26006665731061374,40
Qm,Qm_mean_mg_s,rheology_enhanced,Alg_fraction_feature,-0.136887934397816,-0.26006665731061374,0.136887934397816,0.26006665731061374,40
Qm,Qm_mean_mg_s,rheology_enhanced,Alg_HA_ratio_safe,-0.24481629922128453,-0.26006665731061374,0.24481629922128453,0.26006665731061374,40
Qm,Qm_mean_mg_s,rheology_enhanced,P_over_TP,0.2752828151887485,0.4084550790695244,0.2752828151887485,0.4084550790695244,40
Qm,Qm_mean_mg_s,rheology_enhanced,P_over_Alg,0.098077504060027,0.3021204782035704,0.098077504060027,0.3021204782035704,40
Qm,Qm_mean_mg_s,rheology_enhanced,P_over_HA,-0.13048044535710657,-0.10192877607554308,0.13048044535710657,0.10192877607554308,40
Qm,Qm_mean_mg_s,rheology_enhanced,Alg_x_HA,-0.027619335640916808,0.027743258141499205,0.027619335640916808,0.027743258141499205,40
Qm,Qm_mean_mg_s,rheology_enhanced,Alg_x_P,-0.09300002066648952,-0.01716939548831657,0.09300002066648952,0.01716939548831657,40
Qm,Qm_mean_mg_s,rheology_enhanced,HA_x_P,0.08948630547048946,0.2515481372868858,0.08948630547048946,0.2515481372868858,40
Qm,Qm_mean_mg_s,rheology_enhanced,TP_x_P,0.009739115546348992,0.1818865619512205,0.009739115546348992,0.1818865619512205,40
Qm,Qm_mean_mg_s,rheology_enhanced,HF_x_P,0.16761859462392592,0.3168066047858787,0.16761859462392592,0.3168066047858787,40
Qm,Qm_mean_mg_s,rheology_enhanced,Alg_fraction_x_HA_fraction,0.16922905714135428,0.13441130237519444,0.16922905714135428,0.13441130237519444,40
Qm,Qm_mean_mg_s,rheology_enhanced,Eta0_mean_Pa_s,-0.05406728099702171,0.04915074349923197,0.05406728099702171,0.04915074349923197,40
Qm,Qm_mean_mg_s,rheology_enhanced,Cross_m_mean,-0.15735332726829507,0.000945206605754461,0.15735332726829507,0.000945206605754461,40
Qm,Qm_mean_mg_s,rheology_enhanced,Cross_k_mean_s,0.29684367866132394,0.29679487420690076,0.29684367866132394,0.29679487420690076,40
Qm,Qm_mean_mg_s,rheology_enhanced,G_prime_mean_Pa,-0.04530488906275078,0.02741099156687937,0.04530488906275078,0.02741099156687937,40
Qm,Qm_mean_mg_s,rheology_enhanced,G_double_prime_mean_Pa,-0.04036715418070078,0.04631512368196859,0.04036715418070078,0.04631512368196859,40
Qm,Qm_mean_mg_s,rheology_enhanced,Yield_stress_mean_Pa,-0.044889447976207635,0.0973562803927095,0.044889447976207635,0.0973562803927095,40
AF,AF_mean,angle_rheology_enhanced,Alg_mg_ml,0.032620940082191005,0.06287989387642842,0.032620940082191005,0.06287989387642842,96
AF,AF_mean,angle_rheology_enhanced,HA_mg_ml,-0.07736813829784983,-0.05523210772119333,0.07736813829784983,0.05523210772119333,96
AF,AF_mean,angle_rheology_enhanced,Pressure_kPa,-0.07846900169477514,-0.04259930884403698,0.07846900169477514,0.04259930884403698,96
AF,AF_mean,angle_rheology_enhanced,TP,-0.07167250714296423,-0.024310579694745198,0.07167250714296423,0.024310579694745198,96
AF,AF_mean,angle_rheology_enhanced,TP_pct_wv,-0.07167250714296422,-0.024310579694745198,0.07167250714296422,0.024310579694745198,96
AF,AF_mean,angle_rheology_enhanced,HF,-0.06719549942167868,-0.06316638761134011,0.06719549942167868,0.06316638761134011,96
AF,AF_mean,angle_rheology_enhanced,Alg_fraction_feature,0.06719549942167867,0.06316638761134011,0.06719549942167867,0.06316638761134011,96
AF,AF_mean,angle_rheology_enhanced,Alg_HA_ratio_safe,0.09105811238551269,0.06316638761134011,0.09105811238551269,0.06316638761134011,96
AF,AF_mean,angle_rheology_enhanced,P_over_TP,-0.09125790639881465,-0.03881555116873746,0.09125790639881465,0.03881555116873746,96
AF,AF_mean,angle_rheology_enhanced,P_over_Alg,-0.09379431372094556,-0.07365186205845094,0.09379431372094556,0.07365186205845094,96
AF,AF_mean,angle_rheology_enhanced,P_over_HA,0.03851203984987395,0.07942977111021388,0.03851203984987395,0.07942977111021388,96
AF,AF_mean,angle_rheology_enhanced,Alg_x_HA,-0.046599770704409696,-0.007746160738285814,0.046599770704409696,0.007746160738285814,96
AF,AF_mean,angle_rheology_enhanced,Alg_x_P,-0.026726748003392736,0.025855140445645637,0.026726748003392736,0.025855140445645637,96
AF,AF_mean,angle_rheology_enhanced,HA_x_P,-0.0849778783543028,-0.031783301446409395,0.0849778783543028,0.031783301446409395,96
AF,AF_mean,angle_rheology_enhanced,TP_x_P,-0.06830842166689743,-0.0473865542181728,0.06830842166689743,0.0473865542181728,96
AF,AF_mean,angle_rheology_enhanced,HF_x_P,-0.10077721457398851,-0.04663344611186544,0.10077721457398851,0.04663344611186544,96
AF,AF_mean,angle_rheology_enhanced,Alg_fraction_x_HA_fraction,-0.0018215809040463449,-0.003564399256015816,0.0018215809040463449,0.003564399256015816,96
AF,AF_mean,angle_rheology_enhanced,Angle_deg,-0.8829991505046754,-0.9303785365958522,0.8829991505046754,0.9303785365958522,96
AF,AF_mean,angle_rheology_enhanced,Angle_rad,-0.8829991505046754,-0.9303785365958522,0.8829991505046754,0.9303785365958522,96
AF,AF_mean,angle_rheology_enhanced,sin_angle,-0.10876198539240113,-0.3718227506577641,0.10876198539240113,0.3718227506577641,96
AF,AF_mean,angle_rheology_enhanced,cos_angle,0.8829991505046754,0.9303785365958522,0.8829991505046754,0.9303785365958522,96
AF,AF_mean,angle_rheology_enhanced,P_x_Angle,-0.5328357610242244,-0.564461742685718,0.5328357610242244,0.564461742685718,96
AF,AF_mean,angle_rheology_enhanced,Alg_x_Angle,-0.4170108328753211,-0.3863356518357551,0.4170108328753211,0.3863356518357551,96
AF,AF_mean,angle_rheology_enhanced,HA_x_Angle,-0.5512948050889318,-0.5596356457206054,0.5512948050889318,0.5596356457206054,96
AF,AF_mean,angle_rheology_enhanced,TP_x_Angle,-0.7816828633588412,-0.8362439112730656,0.7816828633588412,0.8362439112730656,96
AF,AF_mean,angle_rheology_enhanced,Eta0_mean_Pa_s,-0.06727170378006564,-0.0273278052185794,0.06727170378006564,0.0273278052185794,96
AF,AF_mean,angle_rheology_enhanced,Cross_m_mean,-0.07222887854377115,-0.035956199060422585,0.07222887854377115,0.035956199060422585,96
AF,AF_mean,angle_rheology_enhanced,Cross_k_mean_s,-0.08009104823648047,-0.1289268008523272,0.08009104823648047,0.1289268008523272,96
AF,AF_mean,angle_rheology_enhanced,G_prime_mean_Pa,-0.07420352669815758,-0.013120354819728265,0.07420352669815758,0.013120354819728265,96
AF,AF_mean,angle_rheology_enhanced,G_double_prime_mean_Pa,-0.07200291635396283,-0.017906310199514497,0.07200291635396283,0.017906310199514497,96
AF,AF_mean,angle_rheology_enhanced,Yield_stress_mean_Pa,-0.08748166783634166,-0.03390507532622848,0.08748166783634166,0.03390507532622848,96
