Target,Target_column,Feature_set,Model,N,N_features,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Spearman_mean,Spearman_std
SR,SR_mean,engineered,XGBoost,43,17,-0.12865916486069084,0.9494629979507644,0.8822423392682605,0.2811573479018935,1.1764003831421919,0.41318460281079694,0.4369986926460517,0.3145048037100115
SR,SR_mean,rheology_enhanced,LinearRegression,43,23,-1.3928095004230396,2.598763444282693,1.166230944701364,0.41288054267994373,1.6487024390767069,0.6709455095310088,0.37650000000000006,0.3222660521871844
SR,SR_mean,rheology_enhanced,SVR_RBF,43,23,-0.10122542287909286,0.8049509887346641,0.8549777699802102,0.26488505827449194,1.1683692710730704,0.41135574695380756,0.4643333333333333,0.3161100396363434
SR,SR_mean,rheology_enhanced,RandomForest,43,23,-0.037515006070761886,0.7124298289936978,0.9080678151855359,0.24935111526044748,1.1430969546326537,0.33902341805939795,0.45057142857142857,0.3201752809646334
SR,SR_mean,rheology_enhanced,GradientBoosting,43,23,-0.11884511085802078,0.9369994255188996,0.8840187896408642,0.2677159848239256,1.1614910840807766,0.39445807846615333,0.45263005447203875,0.32861578722987445
SR,SR_mean,rheology_enhanced,XGBoost,43,23,-0.1281693529140492,0.9194824851609433,0.887986573056645,0.26073014316130433,1.1730121019453887,0.386117343712498,0.456200665483176,0.31422364289306
Qm,Qm_mean_mg_s,core,LinearRegression,40,3,-0.5354146405018624,1.7374122784139985,0.47060712943041866,0.12416778725255409,0.5734940513236837,0.16612778142374363,0.5978571428571429,0.23501848026701952
Qm,Qm_mean_mg_s,core,SVR_RBF,40,3,0.5505385245251404,0.5956618085433086,0.22085991373792033,0.10928742861801606,0.3233295145331874,0.17175717566722287,0.8892857142857145,0.12009519842508874
Qm,Qm_mean_mg_s,core,RandomForest,40,3,-0.5448726032448574,1.8363406069343577,0.45557563537683393,0.15972048336223196,0.5918351763735219,0.21471051947873235,0.45503799825323776,0.31454184380895833
Qm,Qm_mean_mg_s,core,GradientBoosting,40,3,-0.40695709508402295,1.8057552994628585,0.42601216944899817,0.16495885271087568,0.5601715352948476,0.22319509189197076,0.5860537314242399,0.3161150058455742
Qm,Qm_mean_mg_s,core,XGBoost,40,3,-0.6340379148026779,1.9325755925417214,0.45195323540197685,0.15356027761280308,0.590277594959155,0.20128201527569067,0.5298487082682092,0.33123425052338124
Qm,Qm_mean_mg_s,engineered,LinearRegression,40,17,0.24201864858191738,2.0699971535611077,0.21166756728390163,0.1575876045805667,0.30240586983017115,0.22937670778135064,0.8630952380952382,0.2062763496644363
Qm,Qm_mean_mg_s,engineered,SVR_RBF,40,17,0.7044341824836596,0.3399554756116199,0.1778927072574627,0.08590533601456948,0.2595218505252712,0.14414671388826006,0.924761904761905,0.07587718174607998
Qm,Qm_mean_mg_s,engineered,RandomForest,40,17,0.10178119309364238,1.028673658829527,0.36664209906219936,0.14600229993998123,0.48022185795279854,0.20785113831033808,0.7040476190476193,0.2363876961750599
Qm,Qm_mean_mg_s,engineered,GradientBoosting,40,17,0.485802114290297,0.575370834892506,0.27875562194709014,0.13453263370258658,0.35635360633546964,0.17948672718302108,0.8049771240529197,0.1757279539227088
Qm,Qm_mean_mg_s,engineered,XGBoost,40,17,0.5320626268504223,0.5391993136563773,0.26003232494205236,0.1296460647390555,0.33566690409211797,0.18316260188975902,0.8100561291311605,0.16435707855584242
Qm,Qm_mean_mg_s,rheology_enhanced,LinearRegression,40,23,-136.36423749060017,1364.7530682640354,0.5319270800556936,3.10026453807409,0.7990643359213613,4.786216598357812,0.8533333333333336,0.22301240670432973
Qm,Qm_mean_mg_s,rheology_enhanced,SVR_RBF,40,23,0.694625049676359,0.3545035768382683,0.18118683445982675,0.09066017623275967,0.2670397442653066,0.14903081911808852,0.929047619047619,0.07250116596264417
Qm,Qm_mean_mg_s,rheology_enhanced,RandomForest,40,23,0.018754521846566077,1.0640480538014434,0.38417133287262506,0.1462082612466536,0.49150265915060865,0.20101352584837853,0.6369047619047621,0.27824893046231053
Qm,Qm_mean_mg_s,rheology_enhanced,GradientBoosting,40,23,0.3781444235575821,0.894490419676057,0.28895869896326865,0.12610827886228865,0.3704214632824811,0.17278408080142948,0.7836743938816407,0.1804331519124988
Qm,Qm_mean_mg_s,rheology_enhanced,XGBoost,40,23,0.42889623149125283,0.793515182693996,0.2793889299276471,0.12240049473300008,0.35948516329362773,0.17399115344879984,0.782043473290641,0.18925206153303403
AF,AF_mean,core,LinearRegression,96,3,-0.16307226103513714,0.19922323493733768,0.27846608800960854,0.038441467373187634,0.34065312096108913,0.048070407220926835,-0.11633314990539599,0.19939152205567448
AF,AF_mean,core,SVR_RBF,96,3,-0.5624047894489281,0.2888171462669063,0.3152113572995793,0.04795737162043639,0.3949396917480526,0.06085044057627985,-0.23838864411755922,0.1811261889349776
AF,AF_mean,core,RandomForest,96,3,-0.6169370158601616,0.3345136126465776,0.33040008950197836,0.0441975975034855,0.40012362557340525,0.053522187424386025,-0.38323850487547007,0.15401533883850235
AF,AF_mean,core,GradientBoosting,96,3,-0.6518846400521712,0.35322825609998865,0.33512246554325087,0.04395631880614324,0.40383459037314606,0.052789635112204754,-0.38750075855845056,0.17280426792203635
AF,AF_mean,core,XGBoost,96,3,-0.5669387765964352,0.2964249474315027,0.32448576166703474,0.045191174373131186,0.3944374523285738,0.0545987795749594,-0.3688456698297285,0.1659124864855315
AF,AF_mean,angle_engineered,LinearRegression,96,25,0.7463497012601377,0.10334813152266392,0.11319423087345042,0.021022572322425798,0.15562596843824328,0.03273919926670037,0.8731629072681703,0.05483685438314671
AF,AF_mean,angle_engineered,SVR_RBF,96,25,0.705930514349993,0.1393316767280391,0.11721924662972279,0.023304218900458456,0.16738105380398272,0.04230417436869684,0.868203007518797,0.05563959556280709
AF,AF_mean,angle_engineered,RandomForest,96,25,0.7611599861842719,0.11816339256152401,0.10324623303672709,0.021363679918034343,0.15010074105937396,0.034842808205190236,0.8902132500993255,0.04381074822617843
AF,AF_mean,angle_engineered,GradientBoosting,96,25,0.7352215290900723,0.12043342293112246,0.10677213893830183,0.02427419427851685,0.1597132601808326,0.04356242354706291,0.9003623285864384,0.03460237895757343
AF,AF_mean,angle_engineered,XGBoost,96,25,0.7493485574394737,0.10792194216978364,0.10384865636877764,0.022375118012189065,0.15531364765917133,0.03959262751633156,0.9016225295408163,0.031303661690238606
AF,AF_mean,angle_rheology_enhanced,LinearRegression,96,31,0.7419865801009827,0.10608303481258775,0.11522449540615957,0.02174478606580033,0.15685197509971677,0.032843888634446705,0.8686967418546365,0.05805407297062619
AF,AF_mean,angle_rheology_enhanced,SVR_RBF,96,31,0.7128374906875146,0.12876368333185276,0.11669362050194572,0.02341843830541662,0.1658303178977665,0.04204717926539216,0.8676791979949874,0.053323087533829826
AF,AF_mean,angle_rheology_enhanced,RandomForest,96,31,0.7586179346694526,0.12060640915056692,0.10261073076383419,0.021923895861307077,0.1508954193748948,0.03632327608363073,0.8918459315032404,0.042932443820789506
AF,AF_mean,angle_rheology_enhanced,GradientBoosting,96,31,0.729305738851817,0.12362360005987,0.10747735215587677,0.02465386876706885,0.16147003703756924,0.04403919666508627,0.8996952041631847,0.03387055617688308
AF,AF_mean,angle_rheology_enhanced,XGBoost,96,31,0.7454286605095912,0.11230632576767212,0.104201034076641,0.022896807038207966,0.15643084071893662,0.04111185666848549,0.900952439168695,0.03235487144533422
