Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Pr_mean,Pr_std,Qm_mean_mg_s,Qm_std_mg_s,SR_mean,SR_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
20,40,60,95,1.034,0.055,1.363,0.065,4.056,0.99,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.95,2.375,1.5833333333333333,3800,5700,9500,57.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
21,40,60,105,1.081,0.127,2.547,0.056,5.379,0.098,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.05,2.625,1.75,4200,6300,10500,63.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
22,40,60,115,0.936,0.025,3.336,0.021,6.194,0.384,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.15,2.875,1.9166666666666667,4600,6900,11500,69.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
23,40,80,110,0.985,0.048,0.811,0.039,3.129,0.062,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,0.9166666666666666,2.75,1.375,4400,8800,13200,73.33333333333333,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233
24,40,80,120,1.004,0.047,0.942,0.112,2.796,0.937,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.0,3.0,1.5,4800,9600,14400,80.0,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233
25,40,80,130,1.054,0.086,1.163,0.069,3.413,0.107,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.0833333333333333,3.25,1.625,5200,10400,15600,86.66666666666666,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233
26,40,80,140,0.981,0.035,1.45,0.15,3.85,0.185,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.1666666666666667,3.5,1.75,5600,11200,16800,93.33333333333333,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233
27,40,80,150,0.928,0.018,1.616,0.106,4.56,0.102,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.25,3.75,1.875,6000,12000,18000,100.0,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233
28,60,20,55,1.069,0.065,0.395,0.014,4.657,0.233,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.6875,0.9166666666666666,2.75,3300,1100,4400,13.75,1200,0.1875,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
29,60,20,60,1.081,0.071,0.522,0.007,5.419,0.322,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.75,1.0,3.0,3600,1200,4800,15.0,1200,0.1875,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
30,60,20,65,1.179,0.072,0.612,0.043,6.059,0.189,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.8125,1.0833333333333333,3.25,3900,1300,5200,16.25,1200,0.1875,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
31,60,20,70,1.057,0.164,0.769,0.075,6.469,0.286,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.875,1.1666666666666667,3.5,4200,1400,5600,17.5,1200,0.1875,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
32,60,20,75,1.076,0.096,1.048,0.122,6.838,0.704,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.9375,1.25,3.75,4500,1500,6000,18.75,1200,0.1875,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
33,60,20,100,,,,,3.074,0.138,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,1.25,1.6666666666666667,5.0,6000,2000,8000,25.0,1200,0.1875,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
34,60,40,85,1.42,0.309,0.506,0.078,5.633,0.427,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.85,1.4166666666666667,2.125,5100,3400,8500,34.0,2400,0.24,245.63666666666666,80.74469995196796,0.6345706666666667,0.0644900660127848,0.7346953333333333,0.5109673616830466,239.34633333333332,37.14453368038607,352.2513333333333,52.609824598959996,552.6129999999999,26.21128985761678
35,60,40,90,1.194,0.116,0.665,0.008,6.376,0.475,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.9,1.5,2.25,5400,3600,9000,36.0,2400,0.24,245.63666666666666,80.74469995196796,0.6345706666666667,0.0644900660127848,0.7346953333333333,0.5109673616830466,239.34633333333332,37.14453368038607,352.2513333333333,52.609824598959996,552.6129999999999,26.21128985761678
36,60,40,95,1.097,0.111,0.871,0.07,6.424,0.229,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.95,1.5833333333333333,2.375,5700,3800,9500,38.0,2400,0.24,245.63666666666666,80.74469995196796,0.6345706666666667,0.0644900660127848,0.7346953333333333,0.5109673616830466,239.34633333333332,37.14453368038607,352.2513333333333,52.609824598959996,552.6129999999999,26.21128985761678
37,60,40,100,1.232,0.153,1.084,0.089,6.955,0.077,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.0,1.6666666666666667,2.5,6000,4000,10000,40.0,2400,0.24,245.63666666666666,80.74469995196796,0.6345706666666667,0.0644900660127848,0.7346953333333333,0.5109673616830466,239.34633333333332,37.14453368038607,352.2513333333333,52.609824598959996,552.6129999999999,26.21128985761678
38,60,40,105,1.177,0.095,1.076,0.055,7.023,0.173,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.05,1.75,2.625,6300,4200,10500,42.0,2400,0.24,245.63666666666666,80.74469995196796,0.6345706666666667,0.0644900660127848,0.7346953333333333,0.5109673616830466,239.34633333333332,37.14453368038607,352.2513333333333,52.609824598959996,552.6129999999999,26.21128985761678
39,60,60,140,0.978,0.049,0.644,0.055,4.431,1.127,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.1666666666666667,2.3333333333333335,2.3333333333333335,8400,8400,16800,70.0,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819
40,60,60,145,0.998,0.055,0.689,0.048,3.885,1.844,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2083333333333333,2.4166666666666665,2.4166666666666665,8700,8700,17400,72.5,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819
41,60,60,150,0.986,0.045,0.768,0.105,4.816,0.948,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.25,2.5,2.5,9000,9000,18000,75.0,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819
42,60,60,155,0.966,0.046,0.918,0.075,5.536,0.247,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2916666666666667,2.5833333333333335,2.5833333333333335,9300,9300,18600,77.5,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819
43,60,60,160,1.017,0.032,1.027,0.057,4.683,0.258,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,9600,9600,19200,80.0,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819
