Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle
55,40,80,130,120,1.18756,0.0206974,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.0833333333333333,3.25,1.625,5200,10400,15600,86.66666666666666,3200,0.2222222222222222,2.0943951023931953,0.8660254037844387,-0.4999999999999998,15600,4800,9600,14400
56,40,80,140,120,1.18237,0.0173148,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.1666666666666667,3.5,1.75,5600,11200,16800,93.33333333333333,3200,0.2222222222222222,2.0943951023931953,0.8660254037844387,-0.4999999999999998,16800,4800,9600,14400
57,40,80,150,120,1.19584,0.0204479,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.25,3.75,1.875,6000,12000,18000,100.0,3200,0.2222222222222222,2.0943951023931953,0.8660254037844387,-0.4999999999999998,18000,4800,9600,14400
58,60,20,50,60,1.80075,0.120007,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.625,0.8333333333333334,2.5,3000,1000,4000,12.5,1200,0.1875,1.0471975511965976,0.8660254037844386,0.5000000000000001,3000,3600,1200,4800
59,60,20,55,60,1.93806,0.0437234,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.6875,0.9166666666666666,2.75,3300,1100,4400,13.75,1200,0.1875,1.0471975511965976,0.8660254037844386,0.5000000000000001,3300,3600,1200,4800
60,60,20,60,60,2.0106,0.0630045,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.75,1.0,3.0,3600,1200,4800,15.0,1200,0.1875,1.0471975511965976,0.8660254037844386,0.5000000000000001,3600,3600,1200,4800
61,60,20,65,60,2.31133,0.0988328,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.8125,1.0833333333333333,3.25,3900,1300,5200,16.25,1200,0.1875,1.0471975511965976,0.8660254037844386,0.5000000000000001,3900,3600,1200,4800
62,60,20,50,90,1.5134,0.0504629,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.625,0.8333333333333334,2.5,3000,1000,4000,12.5,1200,0.1875,1.5707963267948966,1.0,6.123233995736766e-17,4500,5400,1800,7200
63,60,20,55,90,1.53985,0.0697319,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.6875,0.9166666666666666,2.75,3300,1100,4400,13.75,1200,0.1875,1.5707963267948966,1.0,6.123233995736766e-17,4950,5400,1800,7200
64,60,20,60,90,1.49433,0.0310203,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.75,1.0,3.0,3600,1200,4800,15.0,1200,0.1875,1.5707963267948966,1.0,6.123233995736766e-17,5400,5400,1800,7200
