Target,Feature_set,Model,Validation,N,N_features,R2,MAE,RMSE,Spearman,Feature_list
AF,core,GradientBoosting,Repeated_KFold,96,4,0.6787001119266611,0.11543266602153722,0.174599025108941,0.8864070991341719,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,GradientBoosting,LOFO,96,4,0.7128327744055334,0.1256135767819968,0.17684378234085932,0.8740139345628505,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,XGBoost,Repeated_KFold,96,4,0.739831078118393,0.1082673646181458,0.15922812720117246,0.8940229549396159,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,XGBoost,LOFO,96,4,0.7659555299410186,0.11493634754896163,0.15965096610557242,0.8751136152532695,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,engineered,LinearRegression,Repeated_KFold,96,25,0.7463497012601384,0.11319423087345033,0.1556259684382431,0.8731629072681703,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,LinearRegression,LOFO,96,25,-12319.850909778199,21.326520647000645,36.630488469463934,0.18929734129137277,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,SVR_RBF,Repeated_KFold,96,25,0.7059305143499928,0.11721924662972287,0.1673810538039828,0.868203007518797,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,SVR_RBF,LOFO,96,25,0.6922378895893093,0.1390884244752912,0.1830753759122154,0.833654367878459,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,RandomForest,Repeated_KFold,96,25,0.7536219775773959,0.10385491013947361,0.15254514212150122,0.8881754385964912,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,RandomForest,LOFO,96,25,0.7839706342987484,0.11261961354166651,0.15338353904515026,0.861462289744981,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,GradientBoosting,Repeated_KFold,96,25,0.7099898680030582,0.11042407046507874,0.16637979193609462,0.8933460546011583,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,GradientBoosting,LOFO,96,25,0.7692933433434647,0.11071906853823575,0.15850845089744708,0.8838758251115881,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,XGBoost,Repeated_KFold,96,25,0.7407883332257051,0.1067007171652312,0.1579148535927546,0.894466165413534,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
AF,engineered,XGBoost,LOFO,96,25,0.7807894191719432,0.10753893461147945,0.15450876288786505,0.8856348345089528,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction, Angle_rad, sin_angle, cos_angle, P_x_Angle, Alg_x_Angle, HA_x_Angle, TP_x_Angle"
